id,x,y,class,distance,vx,vy
186,2133.607143,625.543831,0,36.819303616160504,2124,590
187,4947.278409,625.3636365,0,143.48120937626456,5002,758
188,4310.582192,625.7260275,0,191.68736033305802,4298,817
189,4225.2711445,626.477612,7,172.85005762383315,4197,797
190,3933.789189,625.5013515,0,20.795168419714145,3913,626
191,4986.0,626.875,0,132.09756101079233,5002,758
192,4932.0,627.25,0,148.3090101780738,5002,758
193,2518.6673915,628.497826,0,236.10624392662828,2689,792
194,3901.2601625,629.539634,5,0.528792379258984,3901,630
195,2209.081315,627.565744,0,93.00545835811327,2124,590
196,2486.0833335,629.5,0,259.96427359056884,2689,792
197,3135.14011,631.848901,0,212.3652997495585,2927,674
198,4323.1056605,630.343396,0,188.33741531080355,4298,817
199,4293.8188275,630.554174,0,186.4459140241401,4294,817
200,2730.306383,631.9234045,0,151.5738066534363,2878,666
201,4491.081731,632.6634615,0,165.7917621660326,4513,797
202,4809.1576085,630.978261,0,136.7770451100016,4831,766
203,2196.976684,633.6709845,0,85.0455836292228,2124,590
204,1669.0,634.5,0,156.98168683002487,1538,721
205,1459.1826925,635.5096155,7,7.641285199977613,1453,640
206,1840.3980585,636.8859225,3,171.14832465217253,1984,730
207,3138.217213,638.065574,0,214.25217394331568,2927,674
208,5306.41615,638.4285715,0,168.55034869543613,5404,501
209,1806.861111,639.0833335,0,199.10807679154195,1984,730
210,1824.561905,639.0761905,0,183.54194417413504,1984,730
211,2923.392157,638.4313725,7,26.131017380622787,2918,664
212,2915.8995985,641.1706825,7,22.02105297157721,2913,663
213,4317.7925925,639.985185,0,178.117914448141,4298,817
214,2729.6767675,639.941919,0,150.59483684592772,2878,666
215,2682.9464285,640.3392855,0,150.99577872760594,2693,791
216,1451.4130435,641.0,5,0.41304349999995793,1451,641
217,2694.027778,641.4444445,0,149.55908701423277,2693,791
218,5212.407185,641.008982,0,131.1055637579907,5184,769
219,2690.9,641.95,0,149.0647929593034,2693,791
220,1444.5,642.0,0,5.5901699437494745,1450,641
221,2924.109091,643.440909,7,21.4475456775958,2918,664
222,1833.222857,643.3342855,0,173.9100138607262,1984,730
223,2715.0086505,642.283737,0,150.33598231134263,2693,791
224,2486.9298245,642.3333335,0,251.46066668133813,2689,792
225,2023.3251075,643.2939915,0,92.7229424138849,2073,565
226,1516.6490965,645.5978915,7,54.70186352869607,1462,648
227,3127.0,644.8039215,0,202.1197936862646,2927,674
228,3933.5344205,644.8731885,0,27.563712021920363,3911,629
229,1682.983923,645.233119,0,162.68872290646974,1546,733
230,1856.6126125,645.900901,2,152.64404654845515,1984,730
231,3134.1134455,645.7815125,0,209.02694166941538,2927,674
232,1481.526578,645.116279,7,19.738366072092294,1462,648
233,1492.5,646.75,0,30.52560400712818,1462,648
234,2230.662069,646.3931035,0,115.50067815265182,2163,740
235,1424.159091,647.3636365,0,26.612937595282744,1450,641
236,2353.312102,648.232484,0,206.46815867941626,2172,747
237,4451.0091745,647.0,0,162.30484418578348,4513,797
238,2905.218033,647.7442625,0,15.50731656535053,2908,663
239,4460.3,647.4,0,158.6110021404568,4513,797
240,2405.75,648.75,0,253.55891820245645,2172,747
241,2523.45,647.775,0,219.56241282378016,2689,792
242,3908.5547945,648.4863015,7,13.666143094748056,3903,636
243,1722.2903225,648.605572,0,195.4243954873628,1547,735
244,3127.0520835,649.1354165,0,201.59137785460845,2927,674
245,1870.8636365,649.109091,0,139.0797465659555,1984,730
246,1874.526316,650.223684,0,135.45755085289161,1984,730
247,3944.2975,649.8525,0,24.589738967707724,3936,673
248,1453.048013,651.089404,7,5.089630470219272,1453,646
